ProductID,Product Name ,Year ,Fe,Al,Cu,Other_metals,Plastics,PCB,LCD_module_CCFL,LCD_module_LED,CRT_Glass,Li_battery,Others
1,Basic mobile phone,1984,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1985,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1986,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1987,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1988,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1989,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1990,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1991,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1992,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1993,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1994,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1995,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1996,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1997,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1998,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,1999,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2000,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2001,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2002,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2003,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2004,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2005,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2006,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2007,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2008,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2009,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2010,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2011,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2012,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2013,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2014,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2015,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2016,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2017,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
1,Basic mobile phone,2018,0.01,0.06,0.02,,0.34,0.18,0.09,,,0.25,0.06
2, Blu-ray player,1989,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1990,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1991,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1992,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1993,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1994,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1995,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1996,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1997,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1998,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,1999,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2000,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2001,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2002,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2003,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2004,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2005,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2006,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2007,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2008,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2009,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2010,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2011,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2012,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2013,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2014,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2015,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2016,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2017,0.6,0,0.04,,0.18,0.18,,,,,0.01
2, Blu-ray player,2018,0.6,0,0.04,,0.18,0.18,,,,,0.01
3, CRT monitor,1980,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1981,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1982,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1983,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1984,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1985,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1986,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1987,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1988,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1989,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1990,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1991,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1992,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1993,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1994,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1995,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1996,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1997,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1998,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,1999,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2000,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2001,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2002,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2003,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2004,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2005,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2006,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2007,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2008,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2009,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2010,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2011,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2012,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2013,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2014,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2015,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2016,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2017,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
3, CRT monitor,2018,0.03,,0.02,0.01,0.2,0.12,,,0.62,,
4, CRT TV,1980,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1981,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1982,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1983,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1984,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1985,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1986,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1987,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1988,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1989,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1990,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1991,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1992,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1993,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1994,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1995,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1996,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1997,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1998,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,1999,0.06,,0.01,,0.23,0.1,,,0.6,,
4, CRT TV,2000,0.06,,0.01,,0.23,0.1,,,0.6,,
